10:46:27|Infos|OneDrive|Main()|Program|Line:18|Lancement du MITM !
10:47:00|Infos|OneDrive|Main()|Program|Line:18|Lancement du MITM !
10:48:11|Client|OneDrive|ReceiveEvent_Completed()|ClientCore|Line:152|Id [7] | Data : 01 00 37 05 02 2D 31
10:48:12|Client|OneDrive|ReceiveEvent_Completed()|ClientCore|Line:152|Id [1033] | Data : 
10:48:12|Server|OneDrive|ReceiveEvent_Completed()|ClientCore|Line:146|Id [110] | Data : 5A 71 60 57
10:48:12|Server|OneDrive|ReceiveEvent_Completed()|ClientCore|Line:146|Id [8] | Data : 01 01 00 37 05 02 2D 31
10:48:12|Server|OneDrive|ReceiveEvent_Completed()|ClientCore|Line:146|Id [1034] | Data : 80 00 00 00 00 00 00 00 30 81 9F 30 0D 06 09 2A 86 48 86 F7 0D 01 01 01 05 00 03 81 8D 00 30 81 89 02 81 81 00 A5 70 D1 C2 E6 97 8F 6F B8 4F 1F 56 6E 17 4E 50 FB 2D 20 B5 97 F2 60 04 72 8B 18 7E 12 11 A1 46 6D EE C0 A8 22 FF 53 43 33 8C 47 C3 B8 C5 98 1B 06 3D 32 8A 06 28 7A 38 B3 2A 89 6E A7 9F 85 44 C0 77 1D BA F2 F2 7C E8 F6 AE 30 1A 59 58 98 12 C3 2D F2 74 2C C2 37 E8 9D 09 32 52 B5 66 7E 39 82 14 64 B9 A4 F6 5D 60 B8 09 94 3D E1 FD 88 E7 DF 02 63 A1 87 9E 4C 94 BD 07 78 34 92 B8 43 F3 02 03 01 00 01
10:48:13|Client|OneDrive|ReceiveEvent_Completed()|ClientCore|Line:152|Id [1026] | Data : 00 00 00 80 84 18 FB FA 0D D9 25 57 79 B6 AB 8F 52 9E FA 8F 19 64 E2 25 F7 6D B7 EB 9B 0C 40 62 4B 73 AE EC 94 90 78 1C 40 F9 1B 46 36 1A 31 BB BF F2 04 9F 68 1B 35 EB 0B DF B5 0D 84 0B 7B 50 36 6F 26 A7 F9 3A 81 FB 4F 2E 54 DC 28 B9 1D E3 F2 38 29 BD 0D 8E F5 FF 5D 76 7F 01 54 75 9D 8C 6C BB B3 DC 61 B2 64 15 59 DC 6D 31 CB C3 A2 34 9C 53 99 2D D1 5C DC 4A 10 3F 94 96 41 8F 24 33 C3 0A C9 FB
10:48:14|Server|OneDrive|ReceiveEvent_Completed()|ClientCore|Line:146|Id [1027] | Data : 00 01 00 00 00 00 00 0A 08 0A 03 43 47 55 12 01 36 0A 08 0A 03 43 47 56 12 01 36 0A 19 0A 0B 52 45 53 45 54 41 4E 4B 41 4D 41 12 0A 31 33 31 32 33 30 31 33 32 34 0A 17 0A 09 57 45 41 4B 5F 50 41 53 53 12 0A 31 34 39 37 37 32 34 32 33 33
10:48:14|Client|OneDrive|ReceiveEvent_Completed()|ClientCore|Line:152|Id [1035] | Data : 
10:48:14|Server|OneDrive|ReceiveEvent_Completed()|ClientCore|Line:141|Id [1036] | Data : 03 C4 04 0C 00 00 00 08 00 00 00 08 00 00 00 07 50 68 61 65 72 69 73 00 00 00 0D 00 00 00 09 31 32 37 2E 30 2E 30 2E 31 00 00 00 02 00 00 15 B4 00 00 01 BB 06 00 00 00 07 00 00 00 05 45 66 72 69 6D 00 00 00 06 00 00 00 09 31 32 37 2E 30 2E 30 2E 31 00 00 00 02 00 00 15 B4 00 00 01 BB 05 00 00 00 06 00 00 00 07 44 61 74 68 75 72 61 00 00 00 00 00 00 00 09 31 32 37 2E 30 2E 30 2E 31 00 00 00 02 00 00 15 B4 00 00 01 BB 00 00 00 00 05 00 00 00 05 41 6D 61 72 61 00 00 00 03 00 00 00 09 31 32 37 2E 30 2E 30 2E 31 00 00 00 02 00 00 15 B4 00 00 01 BB 04 00 00 00 04 00 00 00 05 45 6C 62 6F 72 00 00 00 04 00 00 00 09 31 32 37 2E 30 2E 30 2E 31 00 00 00 02 00 00 15 B4 00 00 01 BB 02 00 00 00 03 00 00 00 03 4E 6F 78 00 00 00 0B 00 00 00 09 31 32 37 2E 30 2E 30 2E 31 00 00 00 02 00 00 15 B4 00 00 01 BB 03 00 00 00 02 00 00 00 09 52 65 6D 69 6E 67 74 6F 6E 00 00 00 01 00 00 00 09 31 32 37 2E 30 2E 30 2E 31 00 00 00 02 00 00 15 B4 00 00 01 BB 07 00 00 00 01 00 00 00 07 41 65 72 61 66 61 6C 00 00 00 00 00 00 00 09 31 32 37 2E 30 2E 30 2E 31 00 00 00 02 00 00 15 B4 00 00 01 BB 01 00 00 00 07 00 00 00 08 00 00 00 07 01 00 37 05 02 2D 31 00 00 00 43 00 00 00 06 00 14 00 00 00 05 66 61 6C 73 65 00 D0 00 00 00 04 74 72 75 65 00 D1 00 00 00 04 31 33 3B 32 00 D2 00 00 00 00 00 DD 00 00 00 0D 64 65 66 61 75 6C 74 3B 73 74 65 61 6D 01 A4 00 00 00 01 38 00 00 00 00 07 00 00 00 07 01 00 37 05 02 2D 31 00 00 00 40 00 00 00 06 00 14 00 00 00 05 66 61 6C 73 65 00 D0 00 00 00 04 74 72 75 65 00 D1 00 00 00 01 36 00 D2 00 00 00 00 00 DD 00 00 00 0D 64 65 66 61 75 6C 74 3B 73 74 65 61 6D 01 A4 00 00 00 01 37 00 00 00 00 06 00 00 00 07 01 00 37 05 02 2D 31 00 00 00 40 00 00 00 06 00 14 00 00 00 05 66 61 6C 73 65 00 D0 00 00 00 04 74 72 75 65 00 D1 00 00 00 01 30 00 D2 00 00 00 00 00 DD 00 00 00 0D 64 65 66 61 75 6C 74 3B 73 74 65 61 6D 01 A4 00 00 00 01 36 00 00 00 00 04 00 00 00 07 01 00 37 05 02 2D 31 00 00 00 40 00 00 00 06 00 14 00 00 00 05 66 61 6C 73 65 00 D0 00 00 00 04 74 72 75 65 00 D1 00 00 00 01 34 00 D2 00 00 00 00 00 DD 00 00 00 0D 64 65 66 61 75 6C 74 3B 73 74 65 61 6D 01 A4 00 00 00 01 34 00 00 00 00 03 00 00 00 07 01 00 37 05 02 2D 31 00 00 00 45 00 00 00 06 00 14 00 00 00 05 66 61 6C 73 65 00 D0 00 00 00 04 74 72 75 65 00 D1 00 00 00 06 31 31 3B 31 3B 32 00 D2 00 00 00 00 00 DD 00 00 00 0D 64 65 66 61 75 6C 74 3B 73 74 65 61 6D 01 A4 00 00 00 01 33 00 00 00 00 02 00 00 00 07 01 00 37 05 02 2D 31 00 00 00 44 00 00 00 06 00 14 00 00 00 05 66 61 6C 73 65 00 D0 00 00 00 04 74 72 75 65 00 D1 00 00 00 00 00 D2 00 00 00 05 31 32 3B 31 34 00 DD 00 00 00 0D 64 65 66 61 75 6C 74 3B 73 74 65 61 6D 01 A4 00 00 00 01 32 00 00 00 00 01 00 00 00 07 01 00 37 05 02 2D 31 00 00 00 40 00 00 00 06 00 14 00 00 00 05 66 61 6C 73 65 00 D0 00 00 00 04 74 72 75 65 00 D1 00 00 00 01 30 00 D2 00 00 00 00 00 DD 00 00 00 0D 64 65 66 61 75 6C 74 3B 73 74 65 61 6D 01 A4 00 00 00 01 31 00
10:48:22|Client|OneDrive|ReceiveEvent_Completed()|ClientCore|Line:152|Id [1211] | Data : 00 00 00 01 00 00 00 00 00 00 00 00
